,date,mean_I2L1,mean_I2L2,mean_I3L1,mean_I3L2,mean_VTEC,max_I2L1,max_I2L2,max_I3L1,max_I3L2,max_VTEC,min_I2L1,min_I2L2,min_I3L1,min_I3L2,min_VTEC,meanA_I2L1,meanA_I2L2,meanA_I3L1,meanA_I3L2,maxA_I2L1,maxA_I2L2,maxA_I3L1,maxA_I3L2,minA_I2L1,minA_I2L2,minA_I3L1,minA_I3L2,f107cm,ap
43,2013-02-13,-0.0015027756167254021,-0.0031762311267739787,0.0003691805886274883,0.0010013788360796266,30.893253514563295,0.007443,0.015732,0.002157,0.005851,53.715965,-0.016048,-0.033918,1.8e-05,4.9e-05,7.916718,0.002704191637298791,0.005715519249452329,0.0003691805886274883,0.0010013788360796266,0.016048,0.033918,0.002157,0.005851,0.0,0.0,1.8e-05,4.9e-05,97.8,12.0
44,2013-02-14,-0.0014683508994268635,-0.0031034728658709586,0.00043330217337847807,0.001175294550475722,31.821010740121448,0.007814,0.016515,0.002472,0.006704,57.454697,-0.017461,-0.036904,6e-06,1.6e-05,4.925615,0.0027836431233094375,0.0058834459303535305,0.00043330217337847807,0.001175294550475722,0.017461,0.036904,0.002472,0.006704,0.0,0.0,6e-06,1.6e-05,97.0,15.0
45,2013-02-15,-0.0015855591934782196,-0.0033512027274962644,0.0004475685184134371,0.0012139952524163498,33.37764165696344,0.00739,0.01562,0.002437,0.00661,57.493023,-0.01691,-0.03574,8e-06,2.2e-05,5.230622,0.0029213634644120376,0.006174526263027484,0.0004475685184134371,0.0012139952524163498,0.01691,0.03574,0.002437,0.00661,0.0,1e-06,8e-06,2.2e-05,97.7,4.0
46,2013-02-16,-0.0014784652905227705,-0.003124855410288914,0.00044320422681777766,0.001202152725483889,33.1596388686735,0.007598,0.01606,0.002942,0.007981,63.442955,-0.01814,-0.03834,1.8e-05,4.8e-05,8.87379,0.002854921688456663,0.006034098253646908,0.00044320422681777766,0.001202152725483889,0.01814,0.03834,0.002942,0.007981,0.0,0.0,1.8e-05,4.8e-05,100.8,8.0
47,2013-02-17,-0.0015964469900488095,-0.003374217545120889,0.00045943932801089694,0.0012461949373793937,33.07017392124181,0.007895,0.016686,0.002792,0.007572,62.621792,-0.018367,-0.038819,1.2e-05,3.4e-05,8.102912,0.0029231784971054525,0.006178373964205987,0.00045943932801089694,0.0012461949373793937,0.018367,0.038819,0.002792,0.007572,0.0,0.0,1.2e-05,3.4e-05,103.1,9.0
48,2013-02-18,-0.001644815881540876,-0.0034764455644017483,0.0004837022447474423,0.0013120069781955032,34.85686993971141,0.007927,0.016753,0.002401,0.006511,58.584965,-0.016566,-0.035013,1.8e-05,4.8e-05,6.437163,0.003033115206414644,0.006410728701374838,0.0004837022447474423,0.0013120069781955032,0.016566,0.035013,0.002401,0.006511,0.0,0.0,1.8e-05,4.8e-05,102.3,4.0
49,2013-02-19,-0.0016064636788083856,-0.0033953873882388522,0.00045644212993592047,0.001238062472827628,33.713912150842106,0.008311,0.017567,0.002389,0.006481,56.514248,-0.016745,-0.035392,1.4e-05,3.8e-05,7.651474,0.002973948774171597,0.006285673761412396,0.00045644212993592047,0.001238062472827628,0.016745,0.035392,0.002389,0.006481,0.0,0.0,1.4e-05,3.8e-05,109.9,6.0
50,2013-02-20,-0.0014770689681249294,-0.0031219010851892466,0.0004511776382954588,0.0012237831701138126,34.01957594479525,0.007538,0.015932,0.002412,0.006543,56.771099,-0.017247,-0.036452,3e-05,8.2e-05,9.122039,0.002905725072787084,0.006141481188792678,0.0004511776382954588,0.0012237831701138126,0.017247,0.036452,0.002412,0.006543,0.0,0.0,3e-05,8.2e-05,111.0,7.0
51,2013-02-21,-0.0014579882215037905,-0.0030815679957650346,0.0004603341084831641,0.0012486201198646325,34.09957620598189,0.007414,0.01567,0.002645,0.007175,60.596706,-0.01762,-0.03724,3.1e-05,8.3e-05,9.55603,0.0028960717486245812,0.006121076626396688,0.0004603341084831641,0.0012486201198646325,0.01762,0.03724,0.002645,0.007175,0.0,0.0,3.1e-05,8.3e-05,106.2,7.0
52,2013-02-22,-0.0016627237565927523,-0.0035142981530841793,0.0004532459025690467,0.001229395546229607,33.140764962040876,0.00856,0.018093,0.00279,0.007569,61.069691,-0.017971,-0.037982,1.6e-05,4.3e-05,7.071195,0.002949023006105976,0.006232994839221914,0.0004532459025690467,0.001229395546229607,0.017971,0.037982,0.00279,0.007569,0.0,0.0,1.6e-05,4.3e-05,104.7,10.0
